operator_id,operator_name,factory_id,primary_shift,experience_years,skill_level,safety_training_status,attendance_rate,operator_error_factor
OPR0001,Priya Mehta,FAC007,Morning,16.9,Senior,Expired,0.887,0.026
OPR0002,Karan Patel,FAC008,Night,3.5,Intermediate,Certified,0.783,0.016
OPR0003,Neha Patel,FAC001,Night,13.4,Senior,Certified,0.806,0.006
OPR0004,Nitin Sharma,FAC004,Night,10.4,Senior,Certified,0.967,0.006
OPR0005,Arjun Patel,FAC007,Night,19.2,Senior,Expired,0.839,0.026
OPR0006,Priya Reddy,FAC002,Evening,0.2,Junior,Certified,0.939,0.032
OPR0007,Riya Patel,FAC003,Night,11.4,Senior,Expired,0.841,0.026
OPR0008,Kavya Sharma,FAC006,Evening,11.0,Senior,Certified,0.812,0.006
OPR0009,Aditya Verma,FAC002,Night,17.5,Senior,Expired,0.911,0.026
OPR0010,Rahul Mehta,FAC002,Morning,4.1,Intermediate,Certified,0.895,0.016
OPR0011,Arjun Verma,FAC009,Evening,14.5,Senior,Certified,0.868,0.006
OPR0012,Pooja Nair,FAC005,Evening,15.8,Senior,Certified,0.979,0.006
OPR0013,Ishaan Patel,FAC009,Night,6.5,Intermediate,Certified,0.845,0.016
OPR0014,Priya Sharma,FAC008,Evening,8.1,Senior,Expired,0.803,0.026
OPR0015,Karan Mehta,FAC003,Morning,1.8,Junior,Certified,0.963,0.032
OPR0016,Nitin Sharma,FAC003,Morning,3.6,Intermediate,Certified,0.767,0.016
OPR0017,Nitin Gupta,FAC007,Morning,1.6,Junior,Expired,0.816,0.052
OPR0018,Ananya Verma,FAC008,Evening,12.3,Senior,Certified,0.81,0.006
OPR0019,Ishaan Nair,FAC004,Morning,3.2,Intermediate,Expired,0.786,0.036
OPR0020,Priya Sharma,FAC010,Evening,1.9,Junior,Certified,0.896,0.032
OPR0021,Aman Sharma,FAC004,Evening,4.5,Intermediate,Not Certified,0.85,0.036
OPR0022,Aman Kumar,FAC001,Evening,6.3,Intermediate,Certified,0.83,0.016
OPR0023,Aarav Kumar,FAC004,Morning,14.7,Senior,Certified,0.889,0.006
OPR0024,Simran Mehta,FAC010,Evening,1.8,Junior,Expired,0.968,0.052
OPR0025,Kavya Yadav,FAC002,Night,1.1,Junior,Certified,0.883,0.032
OPR0026,Neha Sharma,FAC005,Night,0.9,Junior,Certified,0.92,0.032
OPR0027,Aman Patel,FAC008,Morning,15.9,Senior,Certified,0.97,0.006
